session_id,date,week,block,archetype,location_variant,deload,slot,exercise_id,sets,rep_range,target_RPE,rest_sec,tempo,superset_group,notes,est_duration_min
W02D1,2026-08-31,2,1,A — Lower Strength + Core,home,False,2,db_rdl,3,10-12,7,90,2-1-1,,,38.8
W02D1,2026-08-31,2,1,A — Lower Strength + Core,home,False,3,box_step_up,2,10/leg,7,75,2-0-1,,Stair or sturdy step,38.8
W02D1,2026-08-31,2,1,A — Lower Strength + Core,home,False,4,push_up,3,8-15,7,45,,,,38.8
W02D1,2026-08-31,2,1,A — Lower Strength + Core,home,False,5,pallof_press,2,12/side,,45,,,Band on door anchor; no anchor -> dead bug 2×8/side,38.8
W02D1,2026-08-31,2,1,A — Lower Strength + Core,home,False,6,wall_sit,3,35 s,,30,iso,,,38.8
W02D2,2026-09-02,2,1,B — Power + Balance,gym,False,1,drop_to_stick,4,4,,60,,,"Max intent, stick every landing; full recovery between sets",51.9
W02D2,2026-09-02,2,1,B — Power + Balance,gym,False,2,pogo_hop,4,10,,60,,,"Max intent, stick every landing; full recovery between sets",51.9
W02D2,2026-09-02,2,1,B — Power + Balance,gym,False,3,broad_jump_stick,3,3,,90,,,"Max intent, stick every landing; full recovery between sets",51.9
W02D2,2026-09-02,2,1,B — Power + Balance,gym,False,4,mb_rotational_throw,3,5/side,,60,,,Full-body rotation — throw hard,51.9
W02D2,2026-09-02,2,1,B — Power + Balance,gym,False,5,sl_rdl,3,6/leg,7,60,,,"Light DB, slow",51.9
W02D2,2026-09-02,2,1,B — Power + Balance,gym,False,6,sl_balance,3,30 s/leg,,30,,,"Pad, then eyes closed",51.9
W02D2,2026-09-02,2,1,B — Power + Balance,gym,False,7,calf_raise,3,15,7,60,2-1-2,,,51.9
W02D2,2026-09-02,2,1,B — Power + Balance,home,False,1,snap_down,4,4,,45,,,"Max intent, stick every landing; full recovery between sets (home swap for drop to stick)",35.6
W02D2,2026-09-02,2,1,B — Power + Balance,home,False,2,pogo_hop,4,10,,45,,,"Max intent, stick every landing; full recovery between sets",35.6
W02D2,2026-09-02,2,1,B — Power + Balance,home,False,3,broad_jump_stick,3,3,,75,,,"Max intent, stick every landing; full recovery between sets",35.6
W02D2,2026-09-02,2,1,B — Power + Balance,home,False,4,band_rotational_chop,2,8/side,,45,,,"Fast, athletic stance",35.6
W02D2,2026-09-02,2,1,B — Power + Balance,home,False,5,sl_rdl,2,6/leg,7,45,,,Bodyweight or light DB,35.6
W02D2,2026-09-02,2,1,B — Power + Balance,home,False,6,sl_balance,2,30 s/leg,,30,,,,35.6
W02D2,2026-09-02,2,1,B — Power + Balance,home,False,7,calf_raise,2,15,7,45,2-1-2,,On stair edge,35.6
W02D3,2026-09-05,2,1,C — Quad Endurance + Aerobic,gym,False,1,goblet_squat,3,10,,15,3-0-3,,"Circuit station — Continuous tension, no lockout rest",48.2
W02D3,2026-09-05,2,1,C — Quad Endurance + Aerobic,gym,False,2,wall_sit,3,35 s,,15,iso,,"Circuit station — The 'legs burn out' fix — breathe, stay tall",48.2
W02D3,2026-09-05,2,1,C — Quad Endurance + Aerobic,gym,False,3,box_step_up,3,8/leg,,15,2-0-1,,Circuit station,48.2
W02D3,2026-09-05,2,1,C — Quad Endurance + Aerobic,gym,False,4,spanish_squat,3,12,,15,3-0-3,,"Circuit station — Band behind knees, sit back",48.2
W02D3,2026-09-05,2,1,C — Quad Endurance + Aerobic,gym,False,5,band_lateral_walk,3,10/side,,15,,,Circuit station,48.2
W02D3,2026-09-05,2,1,C — Quad Endurance + Aerobic,gym,False,6,side_plank,3,20 s/side,,15,iso,,Circuit station,48.2
W02D3,2026-09-05,2,1,C — Quad Endurance + Aerobic,gym,False,7,bike_z2,1,14 min steady,,0,,,Aerobic finisher — Conversational pace (Zone 2),48.2
W02D3,2026-09-05,2,1,C — Quad Endurance + Aerobic,home,False,1,goblet_squat,3,10,,15,3-0-3,,"Circuit station — Continuous tension, no lockout rest",37.2
W02D3,2026-09-05,2,1,C — Quad Endurance + Aerobic,home,False,2,wall_sit,3,35 s,,15,iso,,"Circuit station — The 'legs burn out' fix — breathe, stay tall",37.2
W02D3,2026-09-05,2,1,C — Quad Endurance + Aerobic,home,False,3,box_step_up,3,8/leg,,15,2-0-1,,Circuit station — stair or sturdy step,37.2
W02D3,2026-09-05,2,1,C — Quad Endurance + Aerobic,home,False,4,spanish_squat,3,12,,15,3-0-3,,"Circuit station — Band behind knees, sit back",37.2
W02D3,2026-09-05,2,1,C — Quad Endurance + Aerobic,home,False,5,band_lateral_walk,3,10/side,,15,,,Circuit station,37.2
W02D3,2026-09-05,2,1,C — Quad Endurance + Aerobic,home,False,6,side_plank,3,20 s/side,,15,iso,,Circuit station,37.2
W02D3,2026-09-05,2,1,C — Quad Endurance + Aerobic,home,False,7,home_aerobic_circuit,1,8 min continuous easy pace,,0,,,Aerobic finisher — Conversational pace (Zone 2),37.2
W03D1,2026-09-07,3,1,A — Lower Strength + Core,gym,False,1,goblet_squat,4,8-10,7,120,3-1-1,,,57.6
W03D1,2026-09-07,3,1,A — Lower Strength + Core,gym,False,2,db_rdl,3,8-10,7,120,2-1-1,,,57.6
W03D1,2026-09-07,3,1,A — Lower Strength + Core,gym,False,3,box_step_up,3,8/leg,7,90,2-0-1,,Low box; control the descent,57.6
W03D1,2026-09-07,3,1,A — Lower Strength + Core,gym,False,4,db_bench_press,3,8-12,7,90,,,,57.6
W03D1,2026-09-07,3,1,A — Lower Strength + Core,gym,False,5,pallof_press,3,10/side,,60,,,,57.6
W03D1,2026-09-07,3,1,A — Lower Strength + Core,gym,False,6,wall_sit,3,40 s,,60,iso,,,57.6
W03D1,2026-09-07,3,1,A — Lower Strength + Core,home,False,1,goblet_squat,3,10-12,7,90,3-1-1,,Heaviest DB; slower tempo offsets lighter load,39.0
W03D1,2026-09-07,3,1,A — Lower Strength + Core,home,False,2,db_rdl,3,10-12,7,90,2-1-1,,,39.0
W03D1,2026-09-07,3,1,A — Lower Strength + Core,home,False,3,box_step_up,2,10/leg,7,75,2-0-1,,Stair or sturdy step,39.0
W03D1,2026-09-07,3,1,A — Lower Strength + Core,home,False,4,push_up,3,8-15,7,45,,,,39.0
W03D1,2026-09-07,3,1,A — Lower Strength + Core,home,False,5,pallof_press,2,12/side,,45,,,Band on door anchor; no anchor -> dead bug 2×8/side,39.0
W03D1,2026-09-07,3,1,A — Lower Strength + Core,home,False,6,wall_sit,3,40 s,,30,iso,,,39.0
W03D2,2026-09-09,3,1,B — Power + Balance,gym,False,1,drop_to_stick,4,4,,60,,,"Max intent, stick every landing; full recovery between sets",54.2
W03D2,2026-09-09,3,1,B — Power + Balance,gym,False,2,pogo_hop,4,12,,60,,,"Max intent, stick every landing; full recovery between sets",54.2
W03D2,2026-09-09,3,1,B — Power + Balance,gym,False,3,broad_jump_stick,4,3,,90,,,"Max intent, stick every landing; full recovery between sets",54.2
W03D2,2026-09-09,3,1,B — Power + Balance,gym,False,4,mb_rotational_throw,3,5/side,,60,,,Full-body rotation — throw hard,54.2
W03D2,2026-09-09,3,1,B — Power + Balance,gym,False,5,sl_rdl,3,6/leg,7,60,,,"Light DB, slow",54.2
W03D2,2026-09-09,3,1,B — Power + Balance,gym,False,6,sl_balance,3,30 s/leg,,30,,,"Pad, then eyes closed",54.2
W03D2,2026-09-09,3,1,B — Power + Balance,gym,False,7,calf_raise,3,15,7,60,2-1-2,,,54.2
W03D2,2026-09-09,3,1,B — Power + Balance,home,False,1,snap_down,4,4,,45,,,"Max intent, stick every landing; full recovery between sets (home swap for drop to stick)",37.6
W03D2,2026-09-09,3,1,B — Power + Balance,home,False,2,pogo_hop,4,12,,45,,,"Max intent, stick every landing; full recovery between sets",37.6
W03D2,2026-09-09,3,1,B — Power + Balance,home,False,3,broad_jump_stick,4,3,,75,,,"Max intent, stick every landing; full recovery between sets",37.6
W03D2,2026-09-09,3,1,B — Power + Balance,home,False,4,band_rotational_chop,2,8/side,,45,,,"Fast, athletic stance",37.6
W03D2,2026-09-09,3,1,B — Power + Balance,home,False,5,sl_rdl,2,6/leg,7,45,,,Bodyweight or light DB,37.6
W03D2,2026-09-09,3,1,B — Power + Balance,home,False,6,sl_balance,2,30 s/leg,,30,,,,37.6
W03D2,2026-09-09,3,1,B — Power + Balance,home,False,7,calf_raise,2,15,7,45,2-1-2,,On stair edge,37.6
W03D3,2026-09-12,3,1,C — Quad Endurance + Aerobic,gym,False,1,goblet_squat,3,10,,15,3-0-3,,"Circuit station — Continuous tension, no lockout rest",50.5
W03D3,2026-09-12,3,1,C — Quad Endurance + Aerobic,gym,False,2,wall_sit,3,40 s,,15,iso,,"Circuit station — The 'legs burn out' fix — breathe, stay tall",50.5
W03D3,2026-09-12,3,1,C — Quad Endurance + Aerobic,gym,False,3,box_step_up,3,8/leg,,15,2-0-1,,Circuit station,50.5
W03D3,2026-09-12,3,1,C — Quad Endurance + Aerobic,gym,False,4,spanish_squat,3,12,,15,3-0-3,,"Circuit station — Band behind knees, sit back",50.5
W03D3,2026-09-12,3,1,C — Quad Endurance + Aerobic,gym,False,5,band_lateral_walk,3,10/side,,15,,,Circuit station,50.5
W03D3,2026-09-12,3,1,C — Quad Endurance + Aerobic,gym,False,6,side_plank,3,20 s/side,,15,iso,,Circuit station,50.5
W03D3,2026-09-12,3,1,C — Quad Endurance + Aerobic,gym,False,7,bike_z2,1,16 min steady,,0,,,Aerobic finisher — Conversational pace (Zone 2),50.5
W03D3,2026-09-12,3,1,C — Quad Endurance + Aerobic,home,False,1,goblet_squat,3,10,,15,3-0-3,,"Circuit station — Continuous tension, no lockout rest",37.5
W03D3,2026-09-12,3,1,C — Quad Endurance + Aerobic,home,False,2,wall_sit,3,40 s,,15,iso,,"Circuit station — The 'legs burn out' fix — breathe, stay tall",37.5
W03D3,2026-09-12,3,1,C — Quad Endurance + Aerobic,home,False,3,box_step_up,3,8/leg,,15,2-0-1,,Circuit station — stair or sturdy step,37.5
W03D3,2026-09-12,3,1,C — Quad Endurance + Aerobic,home,False,4,spanish_squat,3,12,,15,3-0-3,,"Circuit station — Band behind knees, sit back",37.5
W03D3,2026-09-12,3,1,C — Quad Endurance + Aerobic,home,False,5,band_lateral_walk,3,10/side,,15,,,Circuit station,37.5
W03D3,2026-09-12,3,1,C — Quad Endurance + Aerobic,home,False,6,side_plank,3,20 s/side,,15,iso,,Circuit station,37.5
W03D3,2026-09-12,3,1,C — Quad Endurance + Aerobic,home,False,7,home_aerobic_circuit,1,8 min continuous easy pace,,0,,,Aerobic finisher — Conversational pace (Zone 2),37.5
W04D1,2026-09-14,4,1,A — Lower Strength + Core,gym,True,1,goblet_squat,2,8-10,6,120,3-1-1,,,40.5
W04D1,2026-09-14,4,1,A — Lower Strength + Core,gym,True,2,db_rdl,2,8-10,6,120,2-1-1,,,40.5
W04D1,2026-09-14,4,1,A — Lower Strength + Core,gym,True,3,box_step_up,2,8/leg,6,90,2-0-1,,Low box; control the descent,40.5
W04D1,2026-09-14,4,1,A — Lower Strength + Core,gym,True,4,db_bench_press,2,8-12,6,90,,,,40.5
W04D1,2026-09-14,4,1,A — Lower Strength + Core,gym,True,5,pallof_press,2,10/side,,60,,,,40.5
W04D1,2026-09-14,4,1,A — Lower Strength + Core,gym,True,6,wall_sit,2,30 s,,60,iso,,,40.5
W04D1,2026-09-14,4,1,A — Lower Strength + Core,home,True,1,goblet_squat,2,10-12,6,90,3-1-1,,Heaviest DB; slower tempo offsets lighter load,31.3
W04D1,2026-09-14,4,1,A — Lower Strength + Core,home,True,2,db_rdl,2,10-12,6,90,2-1-1,,,31.3
W04D1,2026-09-14,4,1,A — Lower Strength + Core,home,True,3,box_step_up,2,10/leg,6,75,2-0-1,,Stair or sturdy step,31.3
W04D1,2026-09-14,4,1,A — Lower Strength + Core,home,True,4,push_up,2,8-15,6,45,,,,31.3
W04D1,2026-09-14,4,1,A — Lower Strength + Core,home,True,5,pallof_press,2,12/side,,45,,,Band on door anchor; no anchor -> dead bug 2×8/side,31.3
W04D1,2026-09-14,4,1,A — Lower Strength + Core,home,True,6,wall_sit,2,30 s,,30,iso,,,31.3
W04D2,2026-09-16,4,1,B — Power + Balance,gym,True,1,drop_to_stick,3,3,,60,,,"Max intent, stick every landing; full recovery between sets",39.9
W04D2,2026-09-16,4,1,B — Power + Balance,gym,True,2,pogo_hop,2,10,,60,,,"Max intent, stick every landing; full recovery between sets",39.9
W04D2,2026-09-16,4,1,B — Power + Balance,gym,True,3,broad_jump_stick,3,3,,90,,,"Max intent, stick every landing; full recovery between sets",39.9
W04D2,2026-09-16,4,1,B — Power + Balance,gym,True,4,mb_rotational_throw,2,5/side,,60,,,Full-body rotation — throw hard,39.9
W04D2,2026-09-16,4,1,B — Power + Balance,gym,True,5,sl_rdl,2,6/leg,6,60,,,"Light DB, slow",39.9
W04D2,2026-09-16,4,1,B — Power + Balance,gym,True,6,sl_balance,2,30 s/leg,,30,,,"Pad, then eyes closed",39.9
W04D2,2026-09-16,4,1,B — Power + Balance,gym,True,7,calf_raise,2,15,6,60,2-1-2,,,39.9
W04D2,2026-09-16,4,1,B — Power + Balance,home,True,1,snap_down,3,3,,45,,,"Max intent, stick every landing; full recovery between sets (home swap for drop to stick)",31.8
W04D2,2026-09-16,4,1,B — Power + Balance,home,True,2,pogo_hop,2,10,,45,,,"Max intent, stick every landing; full recovery between sets",31.8
W04D2,2026-09-16,4,1,B — Power + Balance,home,True,3,broad_jump_stick,3,3,,75,,,"Max intent, stick every landing; full recovery between sets",31.8
W04D2,2026-09-16,4,1,B — Power + Balance,home,True,4,band_rotational_chop,2,8/side,,45,,,"Fast, athletic stance",31.8
W04D2,2026-09-16,4,1,B — Power + Balance,home,True,5,sl_rdl,2,6/leg,6,45,,,Bodyweight or light DB,31.8
W04D2,2026-09-16,4,1,B — Power + Balance,home,True,6,sl_balance,2,30 s/leg,,30,,,,31.8
W04D2,2026-09-16,4,1,B — Power + Balance,home,True,7,calf_raise,2,15,6,45,2-1-2,,On stair edge,31.8
W04D3,2026-09-19,4,1,C — Quad Endurance + Aerobic,gym,True,1,goblet_squat,2,10,,15,3-0-3,,"Circuit station — Continuous tension, no lockout rest",36.3
W04D3,2026-09-19,4,1,C — Quad Endurance + Aerobic,gym,True,2,wall_sit,2,25 s,,15,iso,,"Circuit station — The 'legs burn out' fix — breathe, stay tall",36.3
W04D3,2026-09-19,4,1,C — Quad Endurance + Aerobic,gym,True,3,box_step_up,2,8/leg,,15,2-0-1,,Circuit station,36.3
W04D3,2026-09-19,4,1,C — Quad Endurance + Aerobic,gym,True,4,spanish_squat,2,12,,15,3-0-3,,"Circuit station — Band behind knees, sit back",36.3
W04D3,2026-09-19,4,1,C — Quad Endurance + Aerobic,gym,True,5,band_lateral_walk,2,10/side,,15,,,Circuit station,36.3
W04D3,2026-09-19,4,1,C — Quad Endurance + Aerobic,gym,True,6,side_plank,2,20 s/side,,15,iso,,Circuit station,36.3
W04D3,2026-09-19,4,1,C — Quad Endurance + Aerobic,gym,True,7,bike_z2,1,10 min steady,,0,,,Aerobic finisher — Conversational pace (Zone 2),36.3
W04D3,2026-09-19,4,1,C — Quad Endurance + Aerobic,home,True,1,goblet_squat,2,10,,15,3-0-3,,"Circuit station — Continuous tension, no lockout rest",27.8
W04D3,2026-09-19,4,1,C — Quad Endurance + Aerobic,home,True,2,wall_sit,2,25 s,,15,iso,,"Circuit station — The 'legs burn out' fix — breathe, stay tall",27.8
W04D3,2026-09-19,4,1,C — Quad Endurance + Aerobic,home,True,3,box_step_up,2,8/leg,,15,2-0-1,,Circuit station — stair or sturdy step,27.8
W04D3,2026-09-19,4,1,C — Quad Endurance + Aerobic,home,True,4,spanish_squat,2,12,,15,3-0-3,,"Circuit station — Band behind knees, sit back",27.8
W04D3,2026-09-19,4,1,C — Quad Endurance + Aerobic,home,True,5,band_lateral_walk,2,10/side,,15,,,Circuit station,27.8
W04D3,2026-09-19,4,1,C — Quad Endurance + Aerobic,home,True,6,side_plank,2,20 s/side,,15,iso,,Circuit station,27.8
W04D3,2026-09-19,4,1,C — Quad Endurance + Aerobic,home,True,7,home_aerobic_circuit,1,6 min continuous easy pace,,0,,,Aerobic finisher — Conversational pace (Zone 2),27.8
W05D1,2026-09-21,5,2,A — Lower Strength + Core,gym,False,1,back_squat,3,5-6,8,150,3-0-1,,Eccentric emphasis — 3 s down,52.1
W05D1,2026-09-21,5,2,A — Lower Strength + Core,gym,False,2,bb_rdl,3,6-8,8,150,2-1-1,,,52.1
W05D1,2026-09-21,5,2,A — Lower Strength + Core,gym,False,3,box_step_up,2,8/leg,8,90,2-0-1,,Hold DBs,52.1
W05D1,2026-09-21,5,2,A — Lower Strength + Core,gym,False,4,db_bench_press,3,8-10,8,0,,S1,,52.1
W05D1,2026-09-21,5,2,A — Lower Strength + Core,gym,False,5,one_arm_db_row,3,8-10/arm,8,60,,S1,Superset with DB bench,52.1
W05D1,2026-09-21,5,2,A — Lower Strength + Core,gym,False,6,pallof_press,3,10/side,,60,,,,52.1
W05D1,2026-09-21,5,2,A — Lower Strength + Core,home,False,1,goblet_squat,3,6-8,8,105,4-0-1,,"Heavy DB, 4 s eccentric = back-squat stand-in",37.9
W05D1,2026-09-21,5,2,A — Lower Strength + Core,home,False,2,db_rdl,3,8-10,8,90,2-1-1,,,37.9
W05D1,2026-09-21,5,2,A — Lower Strength + Core,home,False,3,push_up,3,8-12,8,0,,S1,Elevate feet when 12 is easy,37.9
W05D1,2026-09-21,5,2,A — Lower Strength + Core,home,False,4,one_arm_db_row,3,10/arm,8,60,,S1,,37.9
W05D1,2026-09-21,5,2,A — Lower Strength + Core,home,False,5,dead_bug,2,8/side,,45,,,,37.9
W05D1,2026-09-21,5,2,A — Lower Strength + Core,home,False,6,wall_sit,2,45 s,,45,iso,,,37.9
W05D2,2026-09-23,5,2,B — Power + Balance,gym,False,1,box_jump,4,4,,75,,,"Max intent, stick every landing; full recovery between sets",52.6
W05D2,2026-09-23,5,2,B — Power + Balance,gym,False,2,pogo_hop,4,10,,60,,,"Max intent, stick every landing; full recovery between sets",52.6
W05D2,2026-09-23,5,2,B — Power + Balance,gym,False,3,drop_to_stick,3,4,,60,,,"Max intent, stick every landing; full recovery between sets",52.6
W05D2,2026-09-23,5,2,B — Power + Balance,gym,False,4,broad_jump_stick,4,3,,90,,,"Max intent, stick every landing; full recovery between sets",52.6
W05D2,2026-09-23,5,2,B — Power + Balance,gym,False,5,mb_rotational_throw,3,5/side,,60,,,,52.6
W05D2,2026-09-23,5,2,B — Power + Balance,gym,False,6,sl_rdl,3,6/leg,8,60,,,,52.6
W05D2,2026-09-23,5,2,B — Power + Balance,gym,False,7,calf_raise,3,12,8,45,2-1-2,,,52.6
W05D2,2026-09-23,5,2,B — Power + Balance,home,False,1,broad_jump_stick,4,4,,60,,,"Max intent, stick every landing; full recovery between sets (home swap for box jump)",37.9
W05D2,2026-09-23,5,2,B — Power + Balance,home,False,2,pogo_hop,4,10,,45,,,"Max intent, stick every landing; full recovery between sets",37.9
W05D2,2026-09-23,5,2,B — Power + Balance,home,False,3,snap_down,3,4,,45,,,"Max intent, stick every landing; full recovery between sets (home swap for drop to stick)",37.9
W05D2,2026-09-23,5,2,B — Power + Balance,home,False,4,broad_jump_stick,4,3,,75,,,"Max intent, stick every landing; full recovery between sets",37.9
W05D2,2026-09-23,5,2,B — Power + Balance,home,False,5,band_rotational_chop,2,8/side,,45,,,"Fast, athletic stance",37.9
W05D2,2026-09-23,5,2,B — Power + Balance,home,False,6,sl_rdl,2,6/leg,8,45,,,Bodyweight or light DB,37.9
W05D2,2026-09-23,5,2,B — Power + Balance,home,False,7,calf_raise,2,15,8,45,2-1-2,,On stair edge,37.9
W05D3,2026-09-26,5,2,C — Quad Endurance + Aerobic,gym,False,1,goblet_squat,3,8,,15,3-1-3,,Circuit station,53.5
W05D3,2026-09-26,5,2,C — Quad Endurance + Aerobic,gym,False,2,wall_sit,3,45 s,,15,iso,,"Circuit station — The 'legs burn out' fix — breathe, stay tall",53.5
W05D3,2026-09-26,5,2,C — Quad Endurance + Aerobic,gym,False,3,eccentric_step_down,3,6/leg,,15,5-0-1,,Circuit station — Reduce depth or skip if any knee pain; sub +15 s wall sit,53.5
W05D3,2026-09-26,5,2,C — Quad Endurance + Aerobic,gym,False,4,spanish_squat,3,12,,15,3-0-3,,Circuit station,53.5
W05D3,2026-09-26,5,2,C — Quad Endurance + Aerobic,gym,False,5,split_squat_iso,3,20 s/side,,15,iso,,Circuit station — Reduce depth or skip if any knee pain; sub +15 s wall sit,53.5
W05D3,2026-09-26,5,2,C — Quad Endurance + Aerobic,gym,False,6,side_plank,3,30 s/side,,15,iso,,Circuit station,53.5
W05D3,2026-09-26,5,2,C — Quad Endurance + Aerobic,gym,False,7,bike_z2,1,16 min steady,,0,,,Aerobic finisher — Conversational pace (Zone 2),53.5
W05D3,2026-09-26,5,2,C — Quad Endurance + Aerobic,home,False,1,goblet_squat,3,8,,15,3-1-3,,Circuit station,38.5
